#Ast,Name,MPC,1st,Nobs,HMag,G,Diam,e_Diam,pV,e_pV,eta,e_eta,pIR/pV,e_pIR/pV,W2amp,N1,N2
NEA    ,85713     ,85713  ,  0,  6,16.01, 0.24,  3.03,  1.49, 0.08, 0.12, 1.40, 0.50, 1.60, 0.10, 0.37,  0,  6
NEA    ,85804     ,85804  ,  0, 47,15.47, 0.24,  2.27,  0.06, 0.22, 0.04, 1.40, 0.00, 1.24, 0.10, 0.17, 11, 11
NEA    ,85804     ,85804  ,  0, 47,15.47, 0.24,  2.19,  0.04, 0.24, 0.02, 1.40, 0.00, 1.29, 0.10, 0.21, 13, 14
NEA    ,85804     ,85804  ,  0, 47,15.47, 0.24,  2.84,  0.04, 0.14, 0.02, 1.40, 0.00, 1.94, 0.10, 0.58, 21, 22
NEA    ,85989     ,85989  ,  0,  4,17.03, 0.24,  1.60,  0.59, 0.11, 0.17, 1.40, 0.45, 1.60, 0.10, 0.39,  0,  4
NEA    ,86067     ,86067  ,  0, 11,16.52, 0.24,  1.50,  0.49, 0.19, 0.14, 1.40, 0.42, 1.60, 0.10, 0.54,  0, 11
NEA    ,86667     ,86667  ,  0,  4,17.59, 0.24,  0.74,  0.02, 0.29, 0.05, 1.40, 0.00, 1.60, 0.10, 0.76,  4,  4
NEA    ,86829     ,86829  , 15,  6,16.11, 0.24,  1.81,  0.05, 0.19, 0.03, 1.40, 0.00, 1.38, 0.10, 0.13,  6,  6
NEA    ,88263     ,88263  ,  0, 18,15.73, 0.24,  5.10,  1.86, 0.03, 0.04, 1.40, 0.38, 1.60, 0.10, 0.93,  0, 18
NEA    ,88710     ,88710  ,  0, 71,18.14, 0.34,  0.75,  0.29, 0.18, 0.14, 1.40, 0.52, 1.60, 0.10, 0.99,  0, 71
NEA    ,90367     ,90367  , 28, 13,18.11, 0.24,  2.06,  1.14, 0.02, 0.07, 1.40, 0.59, 1.60, 0.10, 0.48,  0, 13
NEA    ,90403     ,90403  ,  0,  5,17.78, 0.24,  0.57,  0.17, 0.42, 0.24, 1.40, 0.49, 1.60, 0.10, 0.49,  0,  5
NEA    ,90416     ,90416  ,  0,  5,18.58, 0.24,  0.98,  0.02, 0.07, 0.01, 1.40, 0.00, 1.34, 0.10, 0.07,  5,  5
NEA    ,100756    ,A0756  ,  0, 15,16.48, 0.24,  1.81,  0.04, 0.14, 0.02, 1.40, 0.00, 1.80, 0.10, 1.16, 15, 15
NEA    ,105140    ,A5140  ,  0,  9,15.81, 0.24,  1.97,  0.05, 0.22, 0.04, 1.40, 0.00, 1.30, 0.10, 0.58,  8,  9
NEA    ,108519    ,A8519  ,  0, 12,17.94, 0.24,  1.43,  0.54, 0.06, 0.09, 1.40, 0.46, 1.60, 0.10, 0.52,  0, 12
NEA    ,112985    ,B2985  ,  0, 33,15.66, 0.24,  3.65,  0.04, 0.07, 0.01, 1.40, 0.00, 2.46, 0.10, 0.12, 11, 11
NEA    ,112985    ,B2985  ,  0, 33,15.66, 0.24,  5.12,  0.03, 0.04, 0.01, 1.40, 0.00, 2.80, 0.10, 0.15, 18, 18
NEA    ,137084    ,D7084  ,  0,  4,16.52, 0.24,  1.23,  0.04, 0.29, 0.04, 1.40, 0.00, 1.10, 0.10, 0.48,  4,  4
NEA    ,137805    ,D7805  ,  0, 17,16.77, 0.24,  2.24,  0.03, 0.07, 0.01, 1.40, 0.00, 1.40, 0.10, 0.31, 17, 17
