#Ast,Name,MPC,1st,HMag,G
NEA ,      11405,11405       ,  0,15.2 ,0.15
NEA ,      11885,11885       ,  0,18.5 ,0.15
NEA ,      12538,12538       ,  0,15.8 ,0.15
NEA ,      12711,12711       ,  0,15.8 ,0.15
NEA ,      12923,12923       ,  0,15.8 ,0.15
NEA ,      13651,13651       ,  0,17.6 ,0.15
NEA ,      14402,14402       ,  0,18.6 ,0.15
NEA ,      14827,14827       ,  0,18.3 ,0.15
NEA ,      15745,15745       ,  0,17.3 ,0.15
NEA ,      15817,15817       ,  0,18.5 ,0.15
NEA ,      16657,16657       ,  0,16.6 ,0.15
NEA ,      16816,16816       ,  0,16.2 ,0.15
NEA ,      16834,16834       ,  0,15.7 ,0.15
NEA ,      16912,16912       ,  0,17.9 ,0.15
NEA ,      17181,17181       ,  0,16.4 ,0.15
NEA ,      17274,17274       ,  0,16.6 ,0.15
NEA ,      17511,17511       ,  0,17.1 ,0.15
NEA ,      18106,18106       ,  0,17.7 ,0.15
NEA ,      18109,18109       ,  0,17.0 ,0.15
NEA ,      18736,18736       ,  0,15.8 ,0.15
NEA ,      18882,18882       ,  0,15.9 ,0.15
NEA ,      19764,19764       ,  0,15.9 ,0.15
NEA ,      20086,20086       ,  0,16.8 ,0.15
NEA ,      20236,20236       ,  0,17.6 ,0.15
NEA ,      20429,20429       ,  0,17.7 ,0.15
NEA ,      20460,20460       ,  0,15.2 ,0.15
NEA ,      20790,20790       ,  0,16.4 ,0.15
NEA ,      20826,20826       ,  0,13.9 ,0.15
NEA ,      21088,21088       ,  0,14.3 ,0.15
NEA ,      21374,21374       ,  0,17.4 ,0.15
NEA ,      22099,22099       ,  0,17.9 ,0.15
NEA ,      22753,22753       ,  0,17.7 ,0.15
NEA ,      22771,22771       ,  0,16.8 ,0.15
NEA ,      23183,23183       ,  0,16.0 ,0.15
NEA ,      23187,23187       ,  0,16.1 ,0.15
NEA ,      23548,23548       ,  0,17.6 ,0.15
NEA ,      23606,23606       ,  0,18.2 ,0.15
NEA ,      24443,24443       ,  0,16.4 ,0.15
NEA ,      24475,24475       ,  0,16.3 ,0.15
NEA ,      24761,24761       ,  0,17.3 ,0.15
NEA ,      24761,24761       ,  0,17.3 ,0.15
NEA ,      25143,25143       ,  0,19.2 ,0.15
