# Asteroid,   HMag, Site, Hours Visible
2007AS12    , 19.10, W86,   722
2007XH16    , 19.60, V37,   358
2008KD6     , 19.70, V37,    64
2009WO106   , 19.10, V37,   522
2010VK188   , 18.50, V37,    17
2011GL62    , 19.50, V37,    34
2011JR13    , 19.50, V37,     8
2011TG2     , 20.40, V37,    79
2011VV5     , 19.00, V37,   210
2012AU10    , 18.20, V37,    81
2012UA34    , 19.70, V37,     8
2012VO76    , 21.10, V37,    86
2012XM145   , 20.20, V37,    70
2013TH5     , 17.60, V37,   591
2014QW296   , 18.60, V37,   215
2014SZ303   , 18.10, V37,   102
2014UR116   , 19.70, V37,   306
2015UM67    , 18.90, V37,   318
2007DM41    , 21.90, W86,    44
2007LC15    , 18.60, W86,   279
2007XH16    , 19.60, W86,   213
2008CC175   , 21.30, W86,    13
2008KD6     , 19.70, W86,    18
2008MG1     , 19.90, W86,   228
2009DE47    , 18.70, W86,   233
2009KN4     , 18.30, W86,   745
2009QL8     , 19.50, W86,   515
2009WO106   , 19.10, W86,   464
2010VK188   , 18.50, W86,    99
2011GL62    , 19.50, W86,    17
2011JR13    , 19.50, W86,    28
2011US63    , 18.00, W86,     8
2012AU10    , 18.20, W86,   104
2012VO76    , 21.10, W86,    54
2012XM145   , 20.20, W86,    26
2013TH5     , 17.60, W86,   585
2014QW296   , 18.60, W86,   101
2014SZ303   , 18.10, W86,   502
2014UR116   , 19.70, W86,    50
2015UM67    , 18.90, W86,   280
