#Ast,Name,MPC,1st,Nobs,HMag,G,Diam,e_Diam,pV,e_pV,eta,e_eta,pIR/pV,e_pIR/pV,W2amp,N1,N2
NEA ,445305    ,i5305  ,  0,  4,19.90, 0.15,  0.80,  0.31, 0.03, 0.05, 1.40, 0.45, 1.60, 0.10, 0.20,  0,  4
NEA ,450159    ,j0159  ,  0,  5,18.90, 0.15,  0.73,  0.23, 0.09, 0.10, 1.40, 0.40, 1.60, 0.10, 0.62,  0,  5
NEA ,453687    ,j3687  ,  0, 13,19.30, 0.15,  1.06,  0.48, 0.03, 0.03, 1.40, 0.47, 1.60, 0.10, 0.25,  0, 13
NEA ,453707    ,j3707  ,  0,  4,18.60, 0.15,  0.50,  0.14, 0.26, 0.12, 1.40, 0.39, 1.60, 0.10, 0.40,  0,  4
NEA ,454078    ,j4078  ,  0, 15,17.50, 0.15,  2.96,  1.20, 0.02, 0.04, 1.40, 0.44, 1.60, 0.10, 0.23,  0, 15
NEA ,454100    ,j4100  ,  0,  6,20.10, 0.15,  0.55,  0.01, 0.05, 0.01, 1.40, 0.00, 1.70, 0.10, 0.26,  6,  6
NEA ,2002 GP186,K02GI6P,  0,  5,20.30, 0.15,  0.17,  0.05, 0.44, 0.27, 1.40, 0.48, 1.60, 0.10, 0.29,  0,  5
NEA ,2003  KZ18,K03K18Z,  0,  6,21.20, 0.15,  0.47,  0.19, 0.03, 0.04, 1.40, 0.48, 1.60, 0.10, 0.69,  0,  6
NEA ,2003   MT9,K03M09T,  0,  4,18.60, 0.15,  0.68,  0.22, 0.14, 0.17, 1.40, 0.46, 1.60, 0.10, 0.30,  0,  4
NEA ,2006  KL89,K06K89L,  0, 38,18.60, 0.15,  0.96,  0.38, 0.07, 0.03, 1.40, 0.41, 1.60, 0.10, 0.68,  0, 23
NEA ,2006  KL89,K06K89L,  0, 38,18.60, 0.15,  1.07,  0.52, 0.06, 0.10, 1.40, 0.53, 1.60, 0.10, 0.65,  0, 15
NEA ,2006   OF5,K06O05F,  0, 93,19.30, 0.15,  0.95,  0.55, 0.04, 0.03, 1.00, 0.64, 1.60, 0.10, 0.63,  0, 46
NEA ,2006   OF5,K06O05F,  0, 93,19.30, 0.15,  0.93,  0.32, 0.04, 0.03, 1.00, 0.49, 1.60, 0.10, 0.43,  0, 47
NEA ,2006 UR217,K06UL7R,  0, 15,19.80, 0.15,  0.89,  0.07, 0.03, 0.01, 1.40, 0.11, 6.16, 0.10, 0.26,  8,  9
NEA ,2006 UR217,K06UL7R,  0, 15,19.80, 0.15,  0.95,  0.40, 0.02, 0.05, 1.40, 0.47, 1.60, 0.10, 0.44,  0,  6
NEA ,2007  WE55,K07W55E,  0, 13,20.20, 0.15,  0.69,  0.18, 0.03, 0.05, 1.40, 0.33, 1.60, 0.10, 0.78,  0, 13
