#Ast,Name,MPC,1st,HMag,G
NEA,162854,G2854,0,19.1,0.15
NEA,162873,G2873,0,19.1,0.15
NEA,162882,G2882,0,18.8,0.15
NEA,162911,G2911,0,19.2,0.15
NEA,162913,G2913,0,18.3,0.15
NEA,162922,G2922,0,20.8,0.15
NEA,162979,G2979,0,18.0,0.15
NEA,163000,G3000,0,19.2,0.15
NEA,163001,G3001,0,18.2,0.15
NEA,163023,G3023,0,19.3,0.15
NEA,163026,G3026,0,21.0,0.15
NEA,163070,G3070,0,18.3,0.15
NEA,163132,G3132,0,18.5,0.15
NEA,163249,G3249,0,18.5,0.15
NEA,163348,G3348,0,20.1,0.15
NEA,163373,G3373,0,18.9,0.15
NEA,163454,G3454,0,18.9,0.15
NEA,163697,G3697,0,20.0,0.15
NEA,163818,G3818,0,18.4,0.15
NEA,164120,G4120,0,19.1,0.15
NEA,164184,G4184,0,19.3,0.15
NEA,164202,G4202,0,20.8,0.15
NEA,164214,G4214,0,19.0,0.15
NEA,164215,G4215,0,20.0,0.15
NEA,168791,G8791,0,18.7,0.15
NEA,170086,H0086,0,18.0,0.15
NEA,170903,H0903,0,18.1,0.15
NEA,171486,H1486,0,18.5,0.15
NEA,171576,H1576,0,18.6,0.15
NEA,171819,H1819,0,18.3,0.15
NEA,172718,H2718,0,18.7,0.15
NEA,172974,H2974,0,19.3,0.15
NEA,173232,H3232,0,18.1,0.15
NEA,173561,H3561,0,18.3,0.15
NEA,173689,H3689,0,18.3,0.15
NEA,174881,H4881,0,18.0,0.15
NEA,175189,H5189,0,18.4,0.15
NEA,175706,H5706,0,18.4,0.15
NEA,175729,H5729,0,20.3,0.15
NEA,175921,H5921,0,18.3,0.15
NEA,177016,H7016,0,20.0,0.15
NEA,177049,H7049,0,19.7,0.15
NEA,184266,I4266,0,19.4,0.15
NEA,185851,I5851,0,18.2,0.15
NEA,186822,I6822,0,18.0,0.15
NEA,186823,I6823,0,19.2,0.15
NEA,189011,I9011,0,19.0,0.15
